phylum,class,family,common_name
Echinodermata,Asteroidea,Acanthasteridae,Crown-of-thorns starfish
Echinodermata,Holothuroidea,Holothuriidae,Sea cucumbers
Arthropoda,Malacostraca,Alpheidae,Shrimps
Mollusca,Bivalvia,Arcidae,Ark clam
Echinodermata,Asteroidea,Goniasteridae,Sea stars
Arthropoda,Malacostraca,Palaemonidae,Shrimps
Mollusca,Bivalvia,Psammobiidae,Bivalves
Mollusca,Gastropoda,Turbinidae,Turban snails
Mollusca,Bivalvia,Mesodesmatidae,Bivalves
Mollusca,Bivalvia,Pinnidae,Bivalves
Mollusca,Bivalvia,Carditidae,Bivalves
Arthropoda,Malacostraca,Coenobitidae,Hermit crabs
Mollusca,Gastropoda,Bursidae,Sea snails
Arthropoda,Malacostraca,Calappidae,Crabs
Arthropoda,Malacostraca,Diogenidae,Hermit crabs
Arthropoda,Malacostraca,Gecarcinidae,Crabs
Arthropoda,Malacostraca,Carpiliidae,Xanthid crabs
Mollusca,Gastropoda,Cassidae,Sea snails
Echinodermata,Crinoidea,Colobometridae,Feather stars
Arthropoda,Thecostraca,Pyrgomatidae,Barnacles
Mollusca,Gastropoda,Cerithiidae,Ceriths
Mollusca,Bivalvia,Chamidae,Bivalves
Mollusca,Gastropoda,Charoniidae,Triton snails
Mollusca,Gastropoda,Muricidae,Sea snails
Mollusca,Bivalvia,Pectinidae,Bivalves
Echinodermata,Asteroidea,Oreasteridae,Sea stars
Mollusca,Gastropoda,Chromodorididae,Nudibranchs
Mollusca,Bivalvia,Lucinidae,Bivalves
Echinodermata,Crinoidea,Comatulidae,Feather stars
Mollusca,Gastropoda,Conidae,Cone snail
Cnidaria,Hexacorallia,Thalassianthidae,Sea anemones
Arthropoda,Malacostraca,Xanthidae,Xanthid crabs
Mollusca,Gastropoda,Cypraeidae,Sea snails
Mollusca,Bivalvia,Ostreidae,Pearl oysters
Mollusca,Gastropoda,Vermetidae,Worms
Echinodermata,Echinoidea,Diadematidae,Sea urchins
Annelida,Polychaeta,Serpulidae,Worms
Mollusca,Bivalvia,Donacidae,Bivalves
Echinodermata,Asteroidea,Echinasteridae,Sea stars
Echinodermata,Echinoidea,Echinometridae,Sea urchins
Mollusca,Gastropoda,Plakobranchidae,Sea slugs
Arthropoda,Malacostraca,Eriphiidae,Crabs
Mollusca,Gastropoda,Columbellidae,Sea snails
Mollusca,Bivalvia,Cardiidae,Bivalves
Mollusca,Bivalvia,Veneridae,Bivalves
Mollusca,Gastropoda,Discodorididae,Sea slugs
Cnidaria,Hexacorallia,Heteractidae,Carpet sea anemones
Cnidaria,Hexacorallia,Stichodactylidae,Carpet sea anemones
Mollusca,Bivalvia,Gryphaeidae,Foam oysters
Mollusca,Gastropoda,Strombidae,Conchs
Mollusca,Gastropoda,Fasciolariidae,Sea snails
Echinodermata,Asteroidea,Ophidiasteridae,Sea stars
Mollusca,Bivalvia,Mytilidae,Bivalves
Annelida,Polychaeta,Terebellidae,Worms
Arthropoda,Malacostraca,Lysiosquillidae,Mantis shrimp
Echinodermata,Ophiuroidea,Ophiotrichidae,Brittle stars
Mollusca,Gastropoda,Naticidae,Sea snails
Echinodermata,Echinoidea,Temnopleuridae,Sea urchins
Arthropoda,Malacostraca,Grapsidae,Crabs
Mollusca,Gastropoda,Mitridae,Sea snails
Mollusca,Bivalvia,Modiolidae,Bivalves
Mollusca,Gastropoda,Nassariidae,Sea snails
Mollusca,Gastropoda,Neritidae,Sea snails
Mollusca,Cephalopoda,Octopodidae,Octopus
Arthropoda,Malacostraca,Ocypodidae,Ghost crabs
Arthropoda,Malacostraca,Odontodactylidae,Mantis shrimp
Mollusca,Gastropoda,Olividae,Sea snails
Echinodermata,Ophiuroidea,Ophiocomidae,Brittle stars
Mollusca,Gastropoda,Ovulidae,Sea snails
Arthropoda,Malacostraca,Palinuridae,Spiny lobsters
Echinodermata,Echinoidea,Parasaleniidae,Sea urchins
Arthropoda,Malacostraca,Sesarmidae,Crabs
Arthropoda,Malacostraca,Scyllaridae,Slipper lobsters
Arthropoda,Malacostraca,Penaeidae,Penaeid shrimps
Echinodermata,Echinoidea,Cidaridae,Sea urchins
Mollusca,Gastropoda,Phyllidiidae,Nudibranchs
Mollusca,Bivalvia,Margaritidae,Pearl oysters
Mollusca,Bivalvia,Pteriidae,Pearl oysters
Mollusca,Gastropoda,Tegulidae,Top shells
Arthropoda,Malacostraca,Portunidae,Swimming crabs
Mollusca,Bivalvia,Spondylidae,Bivalves
Arthropoda,Malacostraca,Stenopodidae,Boxer shrimps
Echinodermata,Holothuroidea,Stichopodidae,Sea cucumbers
Echinodermata,Echinoidea,Strongylocentrotidae,Sea urchins
Echinodermata,Holothuroidea,Synaptidae,Sea cucumbers
Mollusca,Gastropoda,Potamididae,Sea snails
Mollusca,Bivalvia,Tellinidae,Bivalves
Mollusca,Gastropoda,Seraphsidae,Sea snails
Mollusca,Gastropoda,Terebridae,Sea snails
Arthropoda,Malacostraca,Tetraliidae,Coral crabs
Arthropoda,Malacostraca,Thalassinidae,Mud lobsters
Mollusca,Gastropoda,Tonnidae,Sea snails
Echinodermata,Echinoidea,Toxopneustidae,Sea urchins
Arthropoda,Malacostraca,Trapeziidae,Coral crabs
Mollusca,Gastropoda,Trochidae,Top shells
Echinodermata,Crinoidea,Tropiometridae,Feather stars
Echinodermata,Asteroidea,Asteropseidae,Sea stars
Mollusca,Gastropoda,Vasidae,Vase snails
Porifera,Demospongiae,Petrosiidae,Sponges
