ps_site_id,exp_id,method,region,subregion,locality,date,time,latitude,longitude,site_name,habitat,exposure,in_mpa,mpa_notes,team_lead,notes
CHL_2013_uvs_001,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-10,15:20:00,-26.34813,-79.87831,SA3,kelp_forest,exposed,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_008,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-15,09:22:00,-26.34953,-79.882,SA4,kelp_forest,exposed,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_010,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-15,16:10:00,-26.34429,-79.86182,SA1,kelp_forest,exposed,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_012,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-20,15:30:00,-26.3485,-79.90611,SA9,kelp_forest,exposed,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_014,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-21,14:20:00,-26.34226,-79.86926,SA18,kelp_forest,exposed,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_016,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-22,15:40:00,-26.34551,-79.87339,SA2,kelp_forest,exposed,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_017,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-23,09:30:00,-26.35158,-79.89581,SA7,kelp_forest,exposed,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_018,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-23,11:30:00,-26.35049,-79.90166,SA8,kelp_forest,exposed,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_019,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-23,16:35:00,-26.34925,-79.88969,SA6,kelp_forest,exposed,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_002,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-13,09:10:00,-26.33838,-79.89959,SA12,kelp_forest,sheltered,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_003,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-13,11:35:00,-26.3388,-79.90264,SA11,kelp_forest,sheltered,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_004,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-13,15:42:00,-26.33988,-79.87282,SA17,kelp_forest,sheltered,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_005,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-14,09:10:00,-26.33754,-79.87769,SA16,kelp_forest,sheltered,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_006,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-14,11:30:00,-26.33611,-79.88457,SA15,kelp_forest,sheltered,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_007,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-14,15:50:00,-26.33624,-79.88846,SA14,kelp_forest,sheltered,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_009,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-15,11:45:00,-26.34424,-79.90506,SA10,kelp_forest,sheltered,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_011,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-20,09:30:00,-26.3373,-79.89379,SA13,kelp_forest,sheltered,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_013,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-21,09:15:00,-26.34138,-79.90437,SA11a,kelp_forest,sheltered,FALSE,NA,Alan Friedlander,NA
CHL_2013_uvs_015,CHL_2013,uvs,Desventuradas,San Ambrosio,NA,2013-02-22,10:10:00,-26.33709,-79.8804,SA14a,kelp_forest,sheltered,FALSE,NA,Alan Friedlander,NA
RUS_2013_uvs_002,RUS_2013,uvs,Franz Josef Land,Hooker,Takhaya bay,2013-07-31,10:30:00,80.33786,52.76162,Historical Station No. 1,kelp_forest,unknown,FALSE,NA,Alan Friedlander,"Sandy-cobble shallows dropping into a boulder-based kelp forest dominated by Alaria esculenta, Saccharina latissima and Laminaria spp., with sparse understorey algae and patchy ophiuroid-amphipod fauna."
